id;code_param;end_points;attribute_01;attribute_02;attribute_03;attribute_04
1;Supervisor Mouse;Executive Chair;Zimbabwe;markets deposit;Kids Checking Account;integrated Ergonomic Fresh Mouse primary
2;North Dakota Handcrafted;input;back-end clear-thinking;Pizza Indiana;Surinam Dollar program interface;Adaptive connecting mesh
3;Books Riel Reactive;Plains invoice;Corporate cyan;leverage Chief Liaison;deploy;actuating maroon
4;Savings Account Product;microchip ivory;Handmade Tasty Wooden Bacon attitude;Multi-layered indexing;Director Hong Kong action-items;evolve
5;West Virginia extend Consultant;Money Market Account Configurable Upgradable;Sports;Officer Glens;Electronics;International
6;Paradigm open-source Rand Loti;exploit;Granite Poland;Self-enabling Congolese Franc EXE;orchid orchestrate Avon;world-class
7;web-readiness Bahraini Dinar;Cross-platform Organized;extensible;Toys alliance;array;scale Rustic Cotton Chair Gorgeous
8;Towels copy Hat;Refined Granite Table Representative;Business-focused;port Berkshire;incubate;encompassing action-items Virginia
9;Cotton Bike Investment Account;extensible Automotive cross-platform;Rustic Wooden Hat;innovative implement;Forward;relationships port Toys
10;auxiliary Street;payment;deliverables Pre-emptive;indexing Chair;THX local area network facilitate;Australian Dollar Louisiana
